Symbol,Name,Last Sale,Net Change,% Change,Market Cap
LTM,"LATAM Airlines Group S.A. American Depositary Shares (each representing two thousand (2,000) shares of Common Stock)",$25.25,0.55,2.227%,"15,262,056,409,072"
BRK/A,Berkshire Hathaway Inc.,"$657,179.989999999991","7,229.97",1.112%,"966,628,960,611"
BRK/B,Berkshire Hathaway Inc.,$437.66,4.37,1.009%,"965,614,234,632"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$161.94,1.66,1.036%,"839,887,915,224"
LLY,Eli Lilly and Company Common Stock,$804.62,-16.57,-2.018%,"764,715,181,683"
JPM,JP Morgan Chase & Co. Common Stock,$212.24,3.57,1.711%,"609,482,790,639"
NVO,Novo Nordisk A/S Common Stock,$126.73,-1.13,-0.884%,"565,498,318,302"
WMT,Walmart Inc. Common Stock,$69.78,-0.24,-0.343%,"561,278,453,567"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$569.72,10.04,1.794%,"524,361,784,929"
V,Visa Inc.,$259.46,5.72,2.254%,"472,815,572,620"
XOM,Exxon Mobil Corporation Common Stock,$117.33,-0.10,-0.085%,"462,632,995,588"
MA,Mastercard Incorporated Common Stock,$438.18,8.58,1.997%,"407,338,875,972"
PG,Procter & Gamble Company (The) Common Stock,$169.11,2.21,1.324%,"399,122,477,539"
JNJ,Johnson & Johnson Common Stock,$160.64,1.00,0.626%,"386,608,943,957"
ORCL,Oracle Corporation Common Stock,$139.01,1.19,0.863%,"383,092,098,600"
HD,"Home Depot, Inc. (The) Common Stock",$359.51,6.22,1.761%,"356,495,216,009"
ABBV,AbbVie Inc. Common Stock,$185.16,2.99,1.641%,"326,968,078,330"
BAC,Bank of America Corporation Common Stock,$41.67,-0.01,-0.024%,"325,874,830,609"
MRK,"Merck & Company, Inc. Common Stock (new)",$125.26,-0.59,-0.469%,"317,259,318,015"
CVX,Chevron Corporation Common Stock,$157.84,0.30,0.19%,"291,531,905,769"
KO,Coca-Cola Company (The) Common Stock,$67.05,0.98,1.483%,"288,848,403,334"
TM,Toyota Motor Corporation Common Stock,$192.52,-2.73,-1.398%,"259,404,759,922"
CRM,"Salesforce, Inc. Common Stock",$262.71,6.19,2.413%,"254,565,990,000"
SAP,SAP  SE ADS,$213.45,2.64,1.252%,"249,145,042,003"
TMO,Thermo Fisher Scientific Inc Common Stock,$607.14,12.64,2.126%,"231,755,248,346"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$72.05,-0.04,-0.055%,"227,826,260,383"
NVS,Novartis AG Common Stock,$110.32,0.39,0.355%,"225,497,829,336"
WFC,Wells Fargo & Company Common Stock,$60.39,0.69,1.156%,"210,538,584,470"
ACN,Accenture plc Class A Ordinary Shares (Ireland),$328.46,-1.66,-0.503%,"205,843,636,976"
DHR,Danaher Corporation Common Stock,$273.91,3.82,1.414%,"197,821,385,017"
LYG,Lloyds Banking Group Plc American Depositary Shares,$3.09,0.03,0.98%,"192,785,330,996"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$76.53,1.13,1.499%,"186,246,535,781"
GE,GE Aerospace Common Stock,$169.81,5.14,3.121%,"184,126,853,627"
ABT,Abbott Laboratories Common Stock,$105.24,-0.72,-0.68%,"183,079,056,797"
MCD,McDonald's Corporation Common Stock,$252.00,0.54,0.215%,"181,611,777,312"
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$109.57,1.30,1.201%,"178,941,851,067"
